type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,131,247,412,275
Cansino,0,0,4,4,1,0
Moderna,0,42,47,1,1,1
Pfizer,0,188,211,0,0,0
Sinopharm,0,768,355,450,296,189
Sputnik,0,2,252,298,290,535
AstraZeneca,1,0,133,250,415,278
Cansino,1,0,0,0,0,0
Moderna,1,42,53,8,51,203
Pfizer,1,191,214,8,3,1
Sinopharm,1,765,374,466,297,185
Sputnik,1,2,226,268,234,333
AstraZeneca,2,0,83,147,289,430
Moderna,2,0,601,587,384,134
Pfizer,2,272,253,225,289,398
Sinopharm,2,727,1,1,2,0
Sputnik,2,1,62,40,36,38
