day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,0,0
369,0,0,2,7,8,0
376,0,0,1,6,8,0
383,0,0,1,8,14,1
390,0,0,1,3,6,0
397,0,0,3,10,22,2
404,0,0,7,26,36,4
411,0,0,7,31,39,12
418,0,0,7,31,55,100
425,0,0,9,31,36,8
432,0,0,7,69,217,50
439,0,0,4,32,80,189
446,0,0,3,8,59,125
453,0,0,1,6,13,106
460,0,0,1,5,25,407
467,0,0,2,18,71,526
474,0,0,2,31,105,463
481,0,0,4,17,238,254
488,0,0,10,49,293,230
495,0,0,2,4,96,79
502,0,0,1,4,281,242
509,0,0,3,11,157,127
516,0,0,66,258,1034,82
523,0,0,80,235,945,29
530,0,0,66,188,839,24
537,0,0,39,101,894,14
544,0,0,23,567,465,9
551,0,0,25,760,139,8
558,0,0,334,813,135,11
565,0,0,760,708,89,7
572,0,0,366,339,65,6
579,0,31,126,119,48,4
586,0,36,44,13,4,2
593,0,2,67,130,70,11
600,0,2,121,142,67,12
607,0,6,159,137,29,6
614,0,4,19,21,9,1
621,0,6,23,23,15,2
628,0,5,21,19,9,2
635,0,1,61,67,30,2
642,0,1,18,23,11,1
649,0,470,41,31,10,2
656,0,751,264,11,5,1
663,0,761,227,16,4,1
670,0,507,21,6,3,1
677,0,351,97,13,4,1
684,0,302,173,6,4,1
691,0,68,19,4,3,0
698,0,98,48,7,4,1
705,0,88,13,10,8,4
712,0,60,20,12,6,2
719,0,62,33,18,10,1
726,0,68,22,25,12,4
733,0,106,43,46,27,12
740,0,90,40,37,25,8
747,0,36,17,18,8,2
754,0,32,16,12,6,2
761,0,0,0,0,1,0
383,1,0,0,0,0,0
390,1,0,1,5,5,0
397,1,0,1,5,7,0
404,1,0,1,10,15,0
411,1,0,1,2,4,1
418,1,0,1,2,3,0
425,1,0,6,29,45,4
432,1,0,9,27,41,11
439,1,0,3,18,26,4
446,1,0,1,8,7,1
453,1,0,0,2,2,1
460,1,0,1,4,5,1
467,1,0,0,0,2,0
474,1,0,2,3,3,3
481,1,0,0,1,1,0
488,1,0,0,3,9,3
495,1,0,12,109,355,95
502,1,0,9,36,104,286
509,1,0,9,51,45,137
516,1,0,2,23,55,244
523,1,0,2,7,15,165
530,1,0,2,8,12,117
537,1,0,1,4,25,34
544,1,0,1,7,216,324
551,1,0,1,5,45,261
558,1,0,3,13,15,16
565,1,0,1,2,28,86
572,1,0,26,134,778,20
579,1,0,74,451,471,37
586,1,0,99,304,489,639
593,1,0,8,32,63,50
600,1,0,410,540,688,39
607,1,15,259,268,605,328
614,1,18,238,351,1060,99
621,1,17,130,487,734,31
628,1,6,177,518,211,24
635,1,3,117,451,134,6
642,1,4,280,345,80,10
649,1,0,80,142,63,9
656,1,4,75,96,47,10
663,1,1,80,102,33,4
670,1,11,60,52,19,4
677,1,279,27,29,13,2
684,1,434,23,13,7,1
691,1,407,265,15,5,0
698,1,479,187,64,32,5
705,1,351,60,21,11,0
712,1,421,51,22,10,3
719,1,308,229,30,14,3
726,1,165,53,25,19,4
733,1,195,54,49,29,7
740,1,105,53,38,21,4
747,1,116,29,18,8,1
754,1,79,35,29,18,4
761,1,9,4,4,4,1
376,2,0,0,0,0,0
663,2,0,0,0,1,1
670,2,0,0,0,40,82
677,2,0,2,10,39,135
684,2,0,6,19,38,7
691,2,0,16,74,136,34
698,2,1,9,35,93,43
705,2,0,6,44,129,251
712,2,0,12,48,246,399
719,2,0,2,13,62,204
726,2,0,9,65,268,258
733,2,1,10,51,320,639
740,2,0,19,78,520,516
747,2,0,83,288,604,184
754,2,1,81,320,397,63
761,2,0,2,19,17,3
