day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,1,4,5,0
376,0,0,0,3,5,0
383,0,0,1,4,8,1
390,0,0,1,2,3,0
397,0,0,1,6,12,1
404,0,0,3,14,19,2
411,0,0,4,17,20,7
418,0,0,3,17,29,53
425,0,0,5,17,19,4
432,0,0,4,36,116,27
439,0,0,2,17,43,100
446,0,0,1,5,31,66
453,0,0,1,3,7,56
460,0,0,1,2,14,217
467,0,0,1,9,38,279
474,0,0,1,17,55,246
481,0,0,2,9,126,135
488,0,0,6,26,156,123
495,0,0,1,2,51,42
502,0,0,1,2,149,129
509,0,0,2,6,84,67
516,0,0,35,137,549,44
523,0,0,43,125,502,16
530,0,0,35,100,446,13
537,0,0,20,54,475,7
544,0,0,13,301,247,5
551,0,0,14,404,74,5
558,0,0,178,432,71,6
565,0,0,404,376,47,4
572,0,0,194,180,35,3
579,0,16,67,63,26,2
586,0,19,23,7,2,1
593,0,1,36,69,37,6
600,0,1,65,76,36,7
607,0,3,85,73,16,3
614,0,2,10,12,5,1
621,0,3,12,13,8,1
628,0,2,12,10,5,1
635,0,1,32,35,16,1
642,0,0,10,12,6,1
649,0,250,22,17,5,1
656,0,399,140,6,3,1
663,0,404,121,9,2,0
670,0,269,11,3,1,0
677,0,187,52,7,2,0
684,0,160,92,3,2,1
691,0,36,10,2,2,0
698,0,52,25,4,2,1
705,0,47,7,6,5,2
712,0,32,10,6,3,1
719,0,33,17,10,6,1
726,0,36,12,13,6,2
733,0,56,22,24,15,6
740,0,48,21,20,14,4
747,0,19,9,10,5,1
754,0,17,8,7,3,1
761,0,0,0,0,0,0
383,1,0,0,0,0,0
390,1,0,1,3,2,0
397,1,0,1,2,4,0
404,1,0,1,5,8,0
411,1,0,0,1,2,1
418,1,0,0,1,2,0
425,1,0,3,15,24,2
432,1,0,5,15,22,6
439,1,0,2,10,14,2
446,1,0,1,4,4,0
453,1,0,0,1,1,0
460,1,0,0,2,2,1
467,1,0,0,0,1,0
474,1,0,1,2,2,2
481,1,0,0,0,1,0
488,1,0,0,2,5,1
495,1,0,6,58,189,50
502,1,0,5,19,55,152
509,1,0,5,27,24,73
516,1,0,1,13,29,130
523,1,0,1,4,8,88
530,1,0,1,5,6,62
537,1,0,1,2,13,18
544,1,0,1,3,115,172
551,1,0,1,3,24,138
558,1,0,2,7,8,9
565,1,0,1,1,15,46
572,1,0,14,71,413,11
579,1,0,39,240,250,19
586,1,0,53,161,260,340
593,1,0,4,17,33,26
600,1,0,218,287,365,20
607,1,8,137,142,322,174
614,1,9,126,187,563,53
621,1,9,69,259,390,16
628,1,3,94,275,112,13
635,1,1,62,240,71,3
642,1,2,149,183,43,6
649,1,0,43,75,34,5
656,1,2,40,51,25,5
663,1,1,43,54,17,2
670,1,6,32,28,10,2
677,1,148,15,15,7,1
684,1,230,12,7,4,1
691,1,216,141,8,2,0
698,1,255,100,34,17,3
705,1,186,32,12,6,0
712,1,224,27,12,6,2
719,1,164,122,16,7,2
726,1,88,28,14,10,2
733,1,104,29,26,16,4
740,1,56,28,20,11,2
747,1,61,15,10,5,1
754,1,42,18,16,9,2
761,1,5,2,2,2,0
376,2,0,0,0,0,0
663,2,0,0,0,0,1
670,2,0,0,0,21,44
677,2,0,1,5,21,72
684,2,0,3,10,20,3
691,2,0,8,40,72,18
698,2,0,5,19,49,22
705,2,0,3,23,69,134
712,2,0,6,26,130,212
719,2,0,1,7,33,108
726,2,0,5,35,143,137
733,2,1,5,27,170,339
740,2,0,10,41,276,274
747,2,0,44,153,321,98
754,2,1,43,170,211,33
761,2,0,1,10,9,2
