day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,1,2,3,0
376,0,0,0,2,3,0
383,0,0,0,3,5,0
390,0,0,0,1,2,0
397,0,0,1,4,8,1
404,0,0,2,9,12,1
411,0,0,3,11,13,4
418,0,0,2,11,18,34
425,0,0,3,11,12,3
432,0,0,3,23,74,17
439,0,0,2,11,27,64
446,0,0,1,3,20,43
453,0,0,0,2,5,36
460,0,0,0,2,9,139
467,0,0,1,6,24,179
474,0,0,1,11,36,157
481,0,0,1,6,81,86
488,0,0,4,17,99,78
495,0,0,0,2,33,27
502,0,0,0,2,96,82
509,0,0,1,4,54,43
516,0,0,22,88,352,28
523,0,0,27,80,321,10
530,0,0,22,64,285,8
537,0,0,13,34,304,5
544,0,0,8,193,158,3
551,0,0,9,258,47,3
558,0,0,114,277,46,4
565,0,0,259,241,30,3
572,0,0,124,115,22,2
579,0,11,43,41,16,1
586,0,12,15,4,1,1
593,0,0,23,44,24,4
600,0,1,41,48,23,4
607,0,2,54,46,10,2
614,0,1,7,7,3,0
621,0,2,8,8,5,1
628,0,2,7,7,3,0
635,0,0,21,23,10,1
642,0,0,6,8,4,0
649,0,160,14,11,4,0
656,0,256,90,4,2,0
663,0,259,77,6,1,0
670,0,172,7,2,1,0
677,0,119,33,4,2,0
684,0,102,59,2,1,0
691,0,23,7,2,1,0
698,0,33,16,3,2,0
705,0,30,4,4,3,1
712,0,21,7,4,2,1
719,0,21,11,6,4,0
726,0,23,7,9,4,2
733,0,36,15,16,9,4
740,0,31,14,12,9,3
747,0,12,6,6,3,1
754,0,11,5,4,2,0
761,0,0,0,0,0,0
383,1,0,0,0,0,0
390,1,0,0,2,2,0
397,1,0,0,2,3,0
404,1,0,0,3,5,0
411,1,0,0,1,2,0
418,1,0,0,0,1,0
425,1,0,2,10,15,2
432,1,0,3,9,14,4
439,1,0,1,6,9,1
446,1,0,0,3,3,0
453,1,0,0,1,0,0
460,1,0,0,1,2,0
467,1,0,0,0,1,0
474,1,0,0,1,1,1
481,1,0,0,0,0,0
488,1,0,0,1,3,1
495,1,0,4,37,121,32
502,1,0,3,12,35,97
509,1,0,3,17,15,47
516,1,0,1,8,19,83
523,1,0,0,2,5,56
530,1,0,1,3,4,40
537,1,0,0,1,8,11
544,1,0,0,2,74,110
551,1,0,0,2,15,89
558,1,0,1,4,5,6
565,1,0,0,1,10,29
572,1,0,9,45,264,7
579,1,0,25,153,160,12
586,1,0,34,103,167,217
593,1,0,3,11,22,17
600,1,0,139,184,234,13
607,1,5,88,91,206,111
614,1,6,81,120,360,34
621,1,6,44,165,249,11
628,1,2,60,176,72,8
635,1,1,40,153,46,2
642,1,1,95,117,27,4
649,1,0,27,48,22,3
656,1,1,26,33,16,4
663,1,0,27,35,11,2
670,1,4,21,18,7,1
677,1,95,9,10,5,1
684,1,148,8,4,3,0
691,1,138,90,5,2,0
698,1,163,64,22,11,2
705,1,119,20,7,4,0
712,1,143,17,7,4,1
719,1,105,78,10,5,1
726,1,56,18,9,7,1
733,1,66,18,17,10,3
740,1,36,18,13,7,1
747,1,39,10,6,3,0
754,1,27,12,10,6,1
761,1,3,1,2,1,0
376,2,0,0,0,0,0
663,2,0,0,0,0,0
670,2,0,0,0,14,28
677,2,0,1,3,13,46
684,2,0,2,7,13,2
691,2,0,5,25,46,11
698,2,0,3,12,32,15
705,2,0,2,15,44,85
712,2,0,4,16,84,136
719,2,0,1,5,21,69
726,2,0,3,22,91,88
733,2,0,3,18,109,217
740,2,0,6,26,177,176
747,2,0,28,98,205,63
754,2,0,28,109,135,21
761,2,0,1,6,6,1
