day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,1,0,0
369,0,0,2,8,9,0
376,0,0,1,8,9,0
383,0,0,1,8,17,1
390,0,0,1,4,7,1
397,0,0,3,11,25,2
404,0,0,8,31,41,4
411,0,0,8,35,44,14
418,0,0,8,34,63,112
425,0,0,10,35,41,9
432,0,0,9,77,244,56
439,0,0,5,37,90,211
446,0,0,3,11,65,139
453,0,0,1,6,16,119
460,0,0,2,7,29,458
467,0,0,2,21,80,588
474,0,0,3,34,117,519
481,0,0,5,18,265,284
488,0,0,11,55,327,257
495,0,0,2,5,106,89
502,0,0,1,5,314,270
509,0,0,4,12,177,142
516,0,0,74,290,1157,92
523,0,0,91,265,1056,33
530,0,0,74,213,940,27
537,0,0,42,112,998,15
544,0,0,25,630,519,9
551,0,0,28,849,153,9
558,0,0,377,912,150,13
565,0,1,856,795,100,8
572,0,0,410,379,72,7
579,0,67,105,132,54,4
586,0,57,8,14,5,3
593,0,4,73,144,78,13
600,0,3,133,158,75,14
607,0,8,173,154,32,8
614,0,6,18,24,10,1
621,0,13,18,27,17,3
628,0,9,18,21,10,2
635,0,2,67,75,33,3
642,0,2,19,25,11,1
649,0,542,25,35,11,2
656,0,1122,5,11,5,2
663,0,290,2,3,1,0
383,1,0,1,0,0,0
390,1,0,2,5,5,0
397,1,0,1,5,9,0
404,1,0,1,11,17,0
411,1,0,1,2,5,2
418,1,0,1,2,4,1
425,1,0,8,32,49,5
432,1,0,9,32,48,12
439,1,0,3,20,31,5
446,1,0,1,8,8,1
453,1,0,1,3,2,1
460,1,0,1,3,5,2
467,1,0,1,1,2,1
474,1,0,2,3,4,3
481,1,0,1,1,2,1
488,1,0,0,4,11,3
495,1,0,14,123,399,106
502,1,1,9,41,115,319
509,1,0,9,57,52,152
516,1,0,3,28,62,273
523,1,0,2,8,15,185
530,1,0,3,9,14,131
537,1,0,1,5,28,37
544,1,0,2,8,241,362
551,1,0,1,7,49,291
558,1,0,4,14,18,18
565,1,0,2,3,31,95
572,1,0,29,149,866,23
579,1,1,83,504,526,41
586,1,1,108,333,538,709
593,1,0,9,37,70,55
600,1,0,460,610,768,43
607,1,30,274,303,674,365
614,1,39,244,396,1185,110
621,1,37,127,544,817,35
628,1,11,190,577,234,28
635,1,5,127,503,150,8
642,1,8,308,385,90,11
649,1,0,92,159,70,10
656,1,6,79,106,51,11
663,1,1,5,10,6,0
