type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,196,391,461,322
Cansino,0,0,2,2,0,0
Moderna,0,23,25,0,0,0
Pfizer,0,232,256,2,0,0
Sinopharm,0,744,370,398,226,159
Sputnik,0,1,151,207,313,519
AstraZeneca,1,0,204,403,467,326
Cansino,1,0,0,0,0,0
Moderna,1,23,29,7,67,215
Pfizer,1,239,260,6,2,0
Sinopharm,1,736,381,402,226,158
Sputnik,1,2,126,182,238,301
AstraZeneca,2,0,220,252,299,456
Cansino,2,0,0,0,0,0
Moderna,2,0,421,350,224,67
Pfizer,2,400,292,317,443,460
Sinopharm,2,600,1,2,0,1
Sputnik,2,0,66,79,34,16
