day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,0,0
369,0,0,0,1,2,0
376,0,0,3,12,17,0
383,0,0,0,2,5,0
390,0,0,0,0,0,0
404,0,0,2,15,18,1
411,0,0,3,15,26,4
418,0,0,3,17,21,61
425,0,0,9,54,80,10
432,0,0,6,25,194,29
439,0,0,2,14,118,124
446,0,0,2,5,87,132
453,0,0,0,15,10,150
460,0,0,1,5,35,544
467,0,0,13,100,148,546
474,0,0,4,36,68,294
481,0,0,3,14,199,283
488,0,0,1,8,210,178
495,0,0,0,1,149,136
502,0,0,4,17,273,253
509,0,0,2,7,110,73
516,0,0,33,101,744,82
523,0,0,102,272,474,33
530,0,0,46,137,530,30
537,0,0,49,141,488,27
544,0,0,14,78,950,8
551,0,0,43,736,602,21
558,0,0,225,691,193,23
565,0,0,478,937,156,11
572,0,0,297,353,95,11
579,0,43,62,28,15,2
586,0,48,61,25,40,18
593,0,17,77,133,145,14
600,0,4,111,280,68,11
607,0,16,541,468,67,9
614,0,9,169,138,22,4
621,0,17,72,64,18,4
628,0,7,35,31,20,7
635,0,4,50,67,45,6
642,0,10,19,14,6,0
649,0,289,71,92,30,3
656,0,723,351,25,6,2
663,0,217,83,24,8,4
670,0,758,25,15,2,0
677,0,629,260,14,6,4
684,0,349,122,9,4,0
691,0,103,27,8,2,0
698,0,132,22,12,6,2
705,0,81,33,18,7,2
712,0,80,14,16,9,1
719,0,67,18,14,10,1
726,0,40,21,22,11,1
733,0,82,46,44,21,5
740,0,50,37,44,27,2
747,0,65,20,23,8,3
754,0,63,14,11,9,2
761,0,0,0,2,1,0
390,1,0,0,2,2,0
397,1,0,2,6,5,0
404,1,0,0,6,10,0
411,1,0,0,1,4,0
418,1,0,0,0,1,0
425,1,0,1,1,2,0
432,1,0,2,13,22,3
439,1,0,2,19,23,2
446,1,0,0,0,1,0
453,1,0,0,1,1,0
460,1,0,1,2,1,0
467,1,0,0,0,1,0
474,1,0,0,1,0,1
481,1,0,0,0,0,0
488,1,0,0,2,5,1
495,1,0,2,27,76,23
502,1,0,9,52,167,226
509,1,0,5,36,302,130
516,1,0,10,58,126,221
523,1,0,0,4,14,236
530,1,0,1,2,11,75
537,1,0,7,67,53,191
544,1,0,3,7,142,290
551,1,0,4,15,113,239
558,1,0,0,4,20,41
565,1,0,1,3,6,176
572,1,0,12,70,624,21
579,1,0,84,381,788,42
586,1,0,112,262,422,386
593,1,0,15,48,64,36
600,1,0,149,449,331,28
607,1,1,219,534,298,114
614,1,37,196,318,1065,389
621,1,40,64,66,561,54
628,1,15,162,250,290,35
635,1,8,56,383,159,20
642,1,21,57,166,77,11
649,1,3,60,207,163,18
656,1,2,148,273,78,12
663,1,2,453,546,127,15
670,1,14,229,195,31,3
677,1,78,69,63,25,7
684,1,462,62,26,18,3
691,1,393,271,64,27,3
698,1,638,76,39,18,4
705,1,370,256,22,7,2
712,1,381,69,56,28,4
719,1,193,64,34,17,3
726,1,168,104,18,4,0
733,1,230,93,74,37,7
740,1,53,43,42,13,3
747,1,39,17,19,10,1
754,1,61,50,53,23,5
761,1,1,1,1,2,1
663,2,0,0,0,0,1
670,2,0,0,0,83,88
677,2,0,1,3,150,141
684,2,1,5,15,16,7
691,2,0,5,24,112,13
698,2,1,7,31,167,21
705,2,0,11,73,117,23
712,2,0,6,25,96,648
719,2,0,1,4,17,126
726,2,0,10,108,402,251
733,2,0,8,19,297,554
740,2,1,35,137,587,478
747,2,1,65,247,607,199
754,2,0,35,167,321,150
761,2,0,2,7,13,1
