type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,174,281,408,329
Cansino,0,0,1,1,0,0
Moderna,0,45,49,0,0,1
Pfizer,0,223,237,0,0,0
Sinopharm,0,730,237,380,304,207
Sputnik,0,2,302,338,288,463
AstraZeneca,1,0,186,295,414,336
Cansino,1,0,0,0,0,0
Moderna,1,48,55,11,69,192
Pfizer,1,238,241,3,1,0
Sinopharm,1,712,253,399,310,208
Sputnik,1,2,265,292,206,264
AstraZeneca,2,0,162,194,276,436
Cansino,2,0,0,0,0,0
Moderna,2,66,541,415,356,221
Pfizer,2,400,237,352,361,339
Sinopharm,2,533,0,0,0,0
Sputnik,2,1,60,39,7,4
