day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,2,3,0
369,0,0,2,9,11,0
376,0,0,3,15,22,0
383,0,0,2,7,14,1
390,0,0,1,3,5,1
397,0,0,4,12,27,3
404,0,0,2,12,29,6
411,0,0,4,19,30,5
418,0,0,11,45,64,61
425,0,0,5,19,31,36
432,0,0,8,85,301,50
439,0,0,4,27,48,213
446,0,0,4,20,32,122
453,0,0,2,10,24,100
460,0,0,5,15,50,622
467,0,0,2,16,129,585
474,0,0,3,12,107,353
481,0,0,2,6,293,232
488,0,0,1,4,216,178
495,0,0,1,2,82,69
502,0,0,1,6,261,211
509,0,0,1,6,216,129
516,0,0,17,65,958,82
523,0,0,113,410,855,24
530,0,0,77,281,911,23
537,0,0,53,170,821,11
544,0,0,41,241,850,12
551,0,0,30,701,567,8
558,0,0,165,1340,228,12
565,0,0,652,945,147,14
572,0,0,453,485,94,8
579,0,68,215,230,115,9
586,0,44,71,51,37,11
593,0,16,166,231,100,15
600,0,2,224,232,58,7
607,0,12,260,224,65,18
614,0,11,49,50,26,4
621,0,11,54,53,27,3
628,0,14,46,43,18,3
635,0,5,38,46,14,3
642,0,7,24,26,12,3
649,0,558,60,23,10,1
656,0,949,506,18,8,1
663,0,835,154,28,11,2
670,0,875,50,20,8,3
677,0,215,28,7,4,1
383,1,0,0,1,2,0
390,1,0,1,7,7,0
397,1,0,2,11,19,0
404,1,0,2,9,13,0
411,1,0,1,5,9,1
418,1,0,1,2,6,2
425,1,0,4,15,34,5
432,1,0,3,17,30,5
439,1,0,5,25,40,6
446,1,0,6,22,29,3
453,1,0,1,3,5,1
460,1,0,1,5,5,1
467,1,0,0,2,2,0
474,1,0,0,5,4,2
481,1,0,2,9,11,2
488,1,0,4,25,104,46
495,1,0,10,92,300,294
502,1,0,3,19,60,277
509,1,0,4,14,28,77
516,1,0,4,17,35,148
523,1,0,2,5,17,128
530,1,0,1,4,53,218
537,1,0,0,4,18,26
544,1,0,1,4,114,259
551,1,0,1,3,56,215
558,1,0,0,1,10,21
565,1,0,1,4,15,87
572,1,0,40,227,1108,40
579,1,0,55,403,556,32
586,1,0,103,398,530,487
593,1,0,29,89,260,144
600,1,0,183,603,465,45
607,1,39,370,372,577,313
614,1,25,205,463,1444,81
621,1,28,156,399,663,31
628,1,18,257,363,232,20
635,1,5,127,707,208,14
642,1,4,303,454,131,11
649,1,0,87,228,87,12
656,1,14,113,154,63,7
663,1,13,190,183,47,7
670,1,6,53,77,39,7
677,1,86,51,30,18,2
663,2,0,0,0,2,19
670,2,0,0,0,14,128
677,2,0,0,0,1,0
