day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,5,7,0
369,0,0,3,19,24,1
376,0,0,6,33,48,0
383,0,0,3,16,29,1
390,0,0,1,5,10,1
397,0,0,7,27,58,6
404,0,0,4,27,63,12
411,0,0,9,40,65,11
418,0,0,23,95,138,131
425,0,1,11,42,65,76
432,0,0,16,181,643,106
439,0,0,8,57,102,455
446,0,0,7,42,69,260
453,0,0,5,20,50,213
460,0,0,10,33,107,1328
467,0,0,4,35,276,1250
474,0,0,6,27,228,755
481,0,0,4,12,626,496
488,0,0,2,9,462,379
495,0,0,1,3,175,147
502,0,0,1,13,559,452
509,0,0,3,14,461,277
516,0,0,36,138,2047,175
523,0,0,243,875,1828,50
530,0,0,164,599,1946,50
537,0,0,112,362,1753,23
544,0,0,87,515,1818,27
551,0,0,64,1496,1211,17
558,0,0,353,2863,487,25
565,0,0,1393,2019,315,29
572,0,0,967,1037,200,18
579,0,290,315,492,246,19
586,0,164,57,110,78,24
593,0,58,323,494,214,32
600,0,5,476,496,125,14
607,0,36,530,480,138,37
614,0,27,81,107,55,10
621,0,39,91,113,57,7
628,0,42,67,91,37,5
635,0,14,71,98,29,6
642,0,21,37,55,26,5
649,0,1290,30,50,20,2
656,0,3049,25,38,16,2
663,0,468,6,10,6,1
383,1,0,1,3,4,1
390,1,0,2,14,16,0
397,1,0,4,25,41,0
404,1,0,4,19,27,1
411,1,0,2,11,19,1
418,1,0,1,5,14,3
425,1,0,8,31,74,10
432,1,0,6,36,65,10
439,1,0,11,53,86,14
446,1,0,13,47,61,7
453,1,0,2,7,10,1
460,1,0,3,11,10,3
467,1,0,1,3,3,1
474,1,0,1,11,10,4
481,1,0,3,19,22,4
488,1,0,7,52,221,97
495,1,0,20,197,642,627
502,1,0,5,40,128,591
509,1,1,9,30,61,164
516,1,0,7,36,75,316
523,1,0,3,12,36,274
530,1,0,1,8,113,467
537,1,0,1,7,38,57
544,1,0,2,10,243,552
551,1,0,2,7,120,458
558,1,0,1,2,20,45
565,1,0,2,7,33,185
572,1,0,87,484,2367,84
579,1,0,116,860,1187,67
586,1,0,220,852,1133,1040
593,1,1,61,189,557,308
600,1,0,390,1290,993,95
607,1,129,708,795,1234,670
614,1,93,386,989,3084,172
621,1,104,274,853,1418,67
628,1,53,512,776,497,44
635,1,16,260,1512,444,30
642,1,10,638,968,280,24
649,1,1,185,486,184,25
656,1,38,211,328,134,16
663,1,15,89,98,30,6
