day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,6,8,0
369,0,0,3,22,26,0
376,0,0,7,36,54,0
383,0,0,4,17,33,2
390,0,0,1,6,11,2
397,0,0,9,30,64,7
404,0,0,5,29,70,14
411,0,0,10,44,73,12
418,0,0,25,106,154,146
425,0,0,13,47,73,86
432,0,0,19,202,718,118
439,0,0,9,64,114,508
446,0,0,8,48,76,290
453,0,0,5,23,56,238
460,0,0,11,36,119,1482
467,0,0,5,38,308,1395
474,0,0,7,30,255,843
481,0,0,4,14,698,553
488,0,0,3,10,515,423
495,0,0,1,4,195,165
502,0,0,2,14,624,504
509,0,0,3,15,514,308
516,0,0,41,155,2285,195
523,0,0,270,977,2041,56
530,0,0,183,669,2173,56
537,0,0,125,404,1956,25
544,0,0,97,575,2028,30
551,0,0,71,1669,1352,19
558,0,0,394,3195,544,29
565,0,0,1555,2253,351,32
572,0,0,1079,1157,223,19
579,0,324,351,549,274,22
586,0,184,63,123,87,27
593,0,65,361,551,238,35
600,0,6,531,553,140,16
607,0,41,591,535,154,42
614,0,30,91,119,61,10
621,0,43,102,127,63,8
628,0,47,76,102,42,6
635,0,16,79,109,33,7
642,0,23,41,61,29,6
649,0,1440,34,55,22,2
656,0,3402,27,43,19,2
663,0,523,6,12,7,1
383,1,0,1,3,5,0
390,1,0,3,16,18,0
397,1,0,5,28,46,0
404,1,0,5,21,31,1
411,1,0,3,12,21,1
418,1,0,1,6,16,3
425,1,0,9,35,82,12
432,1,0,7,40,72,12
439,1,0,12,59,96,15
446,1,0,14,52,69,7
453,1,0,3,7,12,2
460,1,0,3,13,12,3
467,1,0,1,4,4,1
474,1,0,0,12,10,4
481,1,0,3,21,25,5
488,1,0,9,58,247,108
495,1,0,23,220,716,701
502,1,0,6,44,143,660
509,1,0,10,33,68,184
516,1,0,8,40,83,353
523,1,0,4,13,40,306
530,1,0,2,10,126,520
537,1,0,1,8,43,63
544,1,0,2,10,272,616
551,1,0,2,7,134,511
558,1,0,0,2,23,51
565,1,0,2,8,36,206
572,1,0,96,541,2642,95
579,1,0,130,961,1326,76
586,1,0,245,950,1264,1161
593,1,1,68,212,621,344
600,1,0,436,1439,1108,107
607,1,144,790,888,1377,748
614,1,105,431,1104,3443,192
621,1,115,305,952,1582,75
628,1,59,571,866,554,48
635,1,18,290,1688,495,33
642,1,11,711,1081,312,26
649,1,0,206,543,206,28
656,1,42,236,365,149,17
663,1,17,99,109,34,6
