type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,180,300,410,214
Cansino,0,0,9,9,4,1
Moderna,0,38,47,1,3,3
Pfizer,0,211,261,5,2,1
Sinopharm,0,750,329,413,248,277
Sputnik,0,1,174,272,333,504
AstraZeneca,1,0,186,305,418,219
Cansino,1,0,0,0,0,0
Moderna,1,39,50,9,78,205
Pfizer,1,223,268,7,3,1
Sinopharm,1,737,340,424,252,278
Sputnik,1,1,156,255,249,297
AstraZeneca,2,0,178,222,327,549
Cansino,2,0,0,0,0,0
Moderna,2,43,469,408,286,112
Pfizer,2,396,242,261,345,321
Sinopharm,2,560,10,4,1,0
Sputnik,2,1,101,105,41,18
