type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,174,387,451,246
Cansino,0,0,2,2,0,0
Moderna,0,21,24,0,1,0
Pfizer,0,241,273,0,0,0
Sinopharm,0,736,417,376,237,302
Sputnik,0,2,110,235,311,452
AstraZeneca,1,0,179,393,459,240
Cansino,1,0,0,0,0,0
Moderna,1,21,27,8,84,103
Pfizer,1,248,274,4,1,0
Sinopharm,1,730,429,378,236,302
Sputnik,1,1,91,217,220,355
AstraZeneca,2,0,82,232,334,728
Cansino,2,0,0,0,0,0
Moderna,2,0,664,499,349,29
Pfizer,2,411,210,226,278,224
Sinopharm,2,588,0,1,0,0
Sputnik,2,1,44,42,39,19
