day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,1,0,0
369,0,0,1,1,0,0
376,0,0,4,12,23,0
383,0,0,2,10,17,0
390,0,0,0,0,1,0
397,0,0,1,5,17,1
404,0,0,0,1,1,1
411,0,0,4,12,19,3
418,0,0,2,6,13,12
425,0,0,3,11,5,21
432,0,0,0,4,6,112
439,0,0,6,24,25,52
446,0,0,10,39,55,250
453,0,0,2,4,20,186
460,0,0,2,3,121,325
467,0,0,2,5,212,273
474,0,0,1,5,100,106
481,0,0,10,23,154,106
488,0,0,13,40,192,47
495,0,0,15,33,88,15
502,0,0,1,5,17,8
509,0,0,16,45,209,50
516,0,0,18,56,528,17
523,0,0,50,181,572,12
530,0,0,27,73,348,16
537,0,0,15,308,208,11
544,0,0,214,343,102,3
551,0,0,183,273,69,3
558,0,0,151,241,93,10
565,0,0,153,228,83,5
572,0,0,118,196,98,7
579,0,31,78,92,64,3
586,0,0,147,273,177,12
593,0,1,70,103,55,6
600,0,28,103,122,62,7
607,0,0,44,78,48,9
614,0,2,3,3,3,0
621,0,0,29,46,18,2
628,0,2,66,97,41,6
635,0,163,167,8,3,0
642,0,15,57,64,31,7
649,0,121,133,21,11,2
656,0,244,257,23,14,1
663,0,325,86,4,2,2
670,0,484,6,4,6,1
677,0,488,18,25,11,2
684,0,321,30,15,5,2
691,0,30,1,1,0,0
383,1,0,0,0,0,0
390,1,0,1,1,0,0
397,1,0,4,11,20,0
404,1,0,2,9,17,0
411,1,0,0,0,1,0
418,1,0,1,6,18,0
425,1,0,0,0,2,2
432,1,0,1,4,5,1
439,1,0,4,12,18,3
446,1,0,2,11,9,4
453,1,0,1,4,1,0
460,1,0,0,1,1,0
467,1,0,0,0,0,1
474,1,0,0,1,1,0
481,1,0,1,2,1,1
488,1,0,10,49,59,11
495,1,0,3,6,15,29
502,1,0,2,5,161,183
509,1,0,2,7,44,55
516,1,0,2,4,18,137
523,1,0,0,2,11,223
530,1,0,10,24,126,107
537,1,0,0,0,7,71
544,1,0,6,22,178,129
551,1,0,2,4,74,210
558,1,0,10,25,100,137
565,1,0,3,11,47,78
572,1,0,6,17,64,40
579,1,0,20,61,482,35
586,1,0,33,110,367,20
593,1,0,14,38,150,32
600,1,0,159,414,442,23
607,1,0,104,174,123,13
614,1,26,324,553,455,29
621,1,0,174,313,242,18
628,1,1,20,45,41,4
635,1,30,125,197,96,7
642,1,0,158,263,142,13
649,1,0,22,32,22,3
656,1,1,9,13,5,1
663,1,152,186,59,40,5
670,1,100,204,173,81,10
677,1,148,179,58,34,5
684,1,30,42,32,15,4
691,1,46,0,0,1,1
670,2,0,0,0,1,1
677,2,0,1,1,8,28
684,2,0,0,0,131,102
691,2,0,0,0,0,2
