Google_Place_type;Google_Maps_description;Google_Maps_type;Activity_type;Workers_place;Workers_area;Chance_1;Chance_2;Chance_3;Chance_4;Chance_5
lodging;Lodging;lodging;0;0;80;;;;;
agency;Advertising agency;advertising_agency;1;0;20;;;;;
workplace;Aluminum window;aluminum_window;1;0;25;;;;;
profession;Architect;architect;1;2;0;;;;;
workplace;Architecture firm;architecture_firm;1;0;30;;;;;
workplace;Association or organization;association_or_organization;1;0;40;;;;;
workplace;Business networking company;business_networking_company;1;0;15;;;;;
profession;Carpenter;carpenter;1;0;40;;;;;
workplace;Civil engineer;civil_engineer;1;2;0;;;;;
workplace;Construction company;construction_company;1;0;15;;;;;
workplace;Corporate office;corporate_office;1;0;15;;;;;
electrician;Electrical engineer;electrical_engineer;1;2;0;;;;;
workplace;Federal government office;federal_government_office;1;0;10;;;;;
fire_station;Fire station;fire_station;1;0;30;;;;;
service;Garbage collection service;garbage_collection_service;1;0;40;;;;;
workplace;Graphic designer;graphic_designer;1;2;0;;;;;
workplace;Labor union;labor_union;1;0;15;;;;;
workplace;Moving company;moving_company;1;4;0;;;;;
nursery_school;Nursery school;nursery_school;1;0;50;;;;;
workspace;Photocopiers supplier;photocopiers_supplier;1;4;0;;;;;
profession;Photographer;photographer;1;2;0;;;;;
workplace;Plastic fabrication company;plastic_fabrication_company;1;0;40;;;;;
workspace;Political party;political_party;1;0;15;;;;;
primary_school;Primary school;primary_school;1;0;8;;;;;
workplace;Radio broadcaster;radio_broadcaster;1;0;10;;;;;
secondary_school;Secondary school;secondary_school;1;0;8;;;;;
service;Shipping service;shipping_service;1;0;30;;;;;
workplace;Software company;software_company;1;0;10;;;;;
storage;Storage;storage;1;0;80;;;;;
service;Taxi service;taxi_service;1;4;0;;;;;
service;Technical service;technical_service;1;0;15;;;;;
service;Transportation service;transportation_service;1;6;0;;;;;
university;University;university;1;0;12;;;;;
workplace;Web hosting company;web_hosting_service;1;0;30;;;;;
workplace;Website designer;website_designer;1;0;12;;;;;
secondary_school;Technical school;technical_school;1;0;8;;;;;
electrician;Electrician;electrician;1;2;0;;;;;
workplace;Metallurgy company;metallurgy_company;1;0;15;;;;;
stadium;Amphitheater;amphitheatre;2;2;0;5;5;3;3;10
bar;Bar;bar;2;0;50;;;;;10
club;Basketball club;basketball_club;2;0;80;0;1;2;0;0
beauty_salon;Beauty salon;beauty_salon;2;0;30;;;;;2
class;Beauty school;beauty_school;2;0;12;;;;;
agency;Betting agency;betting_agency;2;2;0;;;;;
bicycle_store;Bicycle rack;bicycle_rack;2;;;;;;;
bus_station;Bus station;bus_station;2;0;60;;;;;
church;Church;church;2;6;0;;;;;
class;Dance school;dance_school;2;0;20;;;;;
movie_theater;Escape room center;escape_room_center;2;0;80;;;;;
night_club;Function room facility;function_room_facility;2;0;80;;;;;
class;Guitar instructor;guitar_instructor;2;2;0;;;;;
gym;Gym;gym;2;6;0;;;;;
class;Language school;language_school;2;0;60;;;;;
park;Park;park;2;2;0;;;;;
restaurant;Restaurant;restaurant;2;0;30;;;;;
club;Soccer club;soccer_club;2;0;80;;;;;
stadium;Soccer field;soccer_field;2;0;80;;;;;
club;Sports club;sports_club;2;0;80;;;;;
stadium;Sports complex;sports_complex;2;;;;;;;
synagogue;Synagogue;synagogue;2;6;0;;;;;
store;Tattoo shop;tattoo_shop;2;2;0;;;;;
travel_agency;Travel agency;travel_agency;2;0;20;;;;;
accounting;Accounting firm;accounting_firm;3;0;20;;;;;2
