day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,1,1,1,0
376,0,0,5,16,13,0
383,0,0,1,4,12,2
390,0,0,1,6,9,0
397,0,0,5,25,30,0
404,0,0,1,0,1,0
411,0,0,2,21,31,4
418,0,0,8,23,48,48
425,0,0,3,8,9,48
432,0,0,5,27,25,245
439,0,0,11,55,66,58
446,0,0,8,32,60,164
453,0,0,2,3,20,282
460,0,0,0,2,182,459
467,0,0,1,3,239,269
474,0,0,0,1,107,118
481,0,0,1,3,91,24
488,0,0,3,14,81,39
495,0,0,1,4,41,12
502,0,0,3,9,175,17
509,0,0,6,29,85,11
516,0,0,47,126,172,19
523,0,0,41,133,232,24
530,0,0,21,121,556,19
537,0,0,26,67,477,6
544,0,0,56,444,209,12
551,0,0,43,183,76,9
558,0,0,106,254,90,6
565,0,0,196,230,79,8
572,0,0,229,256,85,10
579,0,31,179,163,49,5
586,0,40,33,44,30,4
593,0,8,71,99,66,11
600,0,16,40,56,46,8
607,0,0,88,120,87,11
614,0,13,12,16,15,3
621,0,11,10,18,11,5
628,0,3,10,16,6,1
635,0,172,62,97,16,1
642,0,76,72,101,93,9
649,0,105,4,6,1,0
656,0,353,6,9,3,1
663,0,32,2,1,1,0
383,1,0,0,0,0,0
390,1,0,0,1,0,0
397,1,0,5,16,14,0
404,1,0,2,3,11,2
411,1,0,1,6,9,0
418,1,0,5,24,29,0
425,1,0,1,2,1,0
432,1,0,2,17,29,4
439,1,0,6,23,44,43
446,1,0,1,2,5,2
453,1,0,0,0,1,0
460,1,0,1,3,4,0
467,1,0,1,5,4,15
474,1,0,1,1,0,23
481,1,0,8,31,40,70
488,1,0,7,51,89,26
495,1,0,2,9,122,286
502,1,0,3,6,83,103
509,1,0,3,6,57,153
516,1,0,2,7,38,292
523,1,0,0,4,37,74
530,1,0,1,4,11,21
537,1,0,1,1,6,5
544,1,0,3,9,7,15
551,1,0,0,0,18,152
558,1,0,0,3,20,41
565,1,0,1,4,80,117
572,1,0,16,72,92,26
579,1,0,55,131,235,26
586,1,0,13,94,223,109
593,1,0,24,137,337,51
600,1,0,122,215,232,60
607,1,0,67,155,210,43
614,1,36,129,227,480,24
621,1,23,147,351,287,20
628,1,8,90,192,97,13
635,1,7,116,160,113,14
642,1,10,27,35,41,4
649,1,7,43,56,28,1
656,1,2,12,24,15,0
663,1,0,4,4,2,2
