type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,137,281,429,331
Cansino,0,0,29,34,7,2
Moderna,0,73,77,0,0,0
Pfizer,0,203,214,0,0,0
Sinopharm,0,722,372,437,274,329
Sputnik,0,2,171,248,290,338
AstraZeneca,1,0,143,298,434,333
Cansino,1,0,0,0,0,0
Moderna,1,82,88,12,63,58
Pfizer,1,217,213,1,0,0
Sinopharm,1,699,387,443,268,321
Sputnik,1,2,169,246,235,288
AstraZeneca,2,0,764,834,938,978
Cansino,2,0,0,0,0,0
Moderna,2,0,11,19,13,0
Pfizer,2,1000,206,132,41,14
Sinopharm,2,0,3,1,0,0
Sputnik,2,0,16,14,8,8
