day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,14,55,34,0
369,0,0,23,67,78,1
376,0,0,19,85,94,0
383,0,0,16,78,133,4
390,0,0,2,9,17,10
397,0,0,1,9,15,1
404,0,0,5,34,74,12
411,0,0,1,6,6,22
418,0,0,9,49,95,155
425,0,0,10,42,85,410
432,0,0,41,184,215,283
439,0,0,20,85,134,876
446,0,0,39,197,407,1198
453,0,0,12,38,91,1864
460,0,0,17,49,302,1335
467,0,0,6,20,1646,1937
474,0,0,8,18,1105,871
481,0,0,5,21,476,200
488,0,0,56,180,883,170
495,0,0,20,66,253,53
502,0,0,22,82,301,105
509,0,0,22,63,439,65
516,0,1,201,578,1092,43
523,0,0,162,571,2727,65
530,0,0,110,348,2021,76
537,0,0,123,321,3109,39
544,0,0,203,3513,2223,48
551,0,2,1195,2097,634,33
558,0,0,1311,2078,524,26
565,0,0,1102,1182,342,33
572,0,0,822,970,368,23
579,0,109,657,756,258,19
586,0,53,150,177,217,20
593,0,19,207,308,122,20
600,0,24,190,256,147,19
607,0,49,392,567,251,32
614,0,27,159,191,112,13
621,0,12,68,94,51,9
628,0,18,119,168,62,11
635,0,148,232,124,61,15
642,0,218,290,89,33,5
649,0,779,311,131,55,10
656,0,1127,841,68,31,3
663,0,2391,506,56,23,3
670,0,2116,349,27,12,2
677,0,185,39,14,5,3
383,1,0,0,1,0,0
390,1,0,24,88,73,1
397,1,0,17,65,73,0
404,1,0,15,73,107,3
411,1,0,9,31,62,3
418,1,0,5,27,31,7
425,1,0,2,9,30,4
432,1,0,1,14,24,5
439,1,0,6,32,69,72
446,1,0,4,26,52,96
453,1,0,7,17,33,11
460,1,0,7,31,47,13
467,1,0,8,30,47,19
474,1,0,1,14,24,4
481,1,0,7,19,17,106
488,1,0,33,173,328,194
495,1,0,42,153,842,741
502,1,0,7,26,522,926
509,1,0,9,37,255,357
516,1,0,10,33,489,816
523,1,0,9,24,133,301
530,1,0,5,17,143,604
537,1,0,3,20,266,248
544,1,0,8,30,231,263
551,1,0,10,26,86,569
558,1,0,5,17,93,764
565,1,0,8,22,131,321
572,1,0,38,184,127,32
579,1,0,304,1363,446,40
586,1,0,355,670,1221,1242
593,1,1,103,236,1219,578
600,1,0,603,931,1612,147
607,1,4,505,1010,1209,187
614,1,130,543,1200,2745,79
621,1,11,383,743,1688,125
628,1,15,380,586,850,44
635,1,16,210,601,1807,63
642,1,45,252,409,530,20
649,1,4,444,572,368,37
656,1,21,544,1842,642,44
663,1,75,635,855,375,36
670,1,149,497,481,150,28
677,1,15,32,26,23,4
670,2,0,0,2,56,38
677,2,0,2,4,187,335
677,3,0,0,0,0,0
