type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,158,316,444,197
Cansino,0,0,10,10,3,1
Moderna,0,40,45,1,1,0
Pfizer,0,226,248,1,0,0
Sinopharm,0,732,319,408,225,245
Sputnik,0,2,220,264,327,557
AstraZeneca,1,0,152,316,452,194
Cansino,1,0,0,0,0,0
Moderna,1,47,76,39,126,147
Pfizer,1,231,245,4,1,0
Sinopharm,1,720,327,413,217,250
Sputnik,1,2,200,228,204,409
AstraZeneca,2,0,406,482,571,765
Cansino,2,0,0,0,0,0
Moderna,2,0,13,11,8,10
Pfizer,2,756,551,487,394,123
Sinopharm,2,243,3,1,4,6
Sputnik,2,1,27,19,23,96
