type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,105,215,380,407
Cansino,0,0,25,26,16,7
Moderna,0,42,46,2,1,2
Pfizer,0,215,229,3,0,0
Sinopharm,0,741,434,528,341,136
Sputnik,0,2,161,226,262,448
AstraZeneca,1,0,102,218,387,395
Cansino,1,0,1,1,0,0
Moderna,1,41,47,13,61,173
Pfizer,1,230,238,10,5,3
Sinopharm,1,728,480,568,347,137
Sputnik,1,1,132,190,200,292
AstraZeneca,2,0,84,163,365,520
Cansino,2,0,0,0,0,0
Moderna,2,137,604,510,270,87
Pfizer,2,298,230,263,311,357
Sinopharm,2,563,2,0,2,2
Sputnik,2,2,80,64,52,34
