day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,1,1,0
369,0,0,2,6,9,0
376,0,0,1,3,3,0
397,0,0,1,1,1,0
404,0,0,4,25,41,2
411,0,0,8,49,86,7
418,0,0,16,53,78,34
425,0,0,11,58,123,487
432,0,0,6,35,366,504
439,0,0,5,36,206,184
446,0,0,2,23,70,92
453,0,0,0,9,13,179
460,0,0,10,104,175,306
467,0,0,29,127,326,261
474,0,0,13,50,102,215
481,0,0,10,27,243,189
488,0,0,6,18,114,98
495,0,0,1,5,115,77
502,0,0,9,25,334,233
509,0,0,6,18,278,115
516,0,0,77,298,890,199
523,0,0,154,477,1051,96
530,0,0,128,406,602,68
537,0,0,109,252,991,32
544,0,0,110,455,1095,32
551,0,0,82,849,460,25
558,0,0,648,1154,356,26
565,0,0,735,892,307,29
572,0,0,500,614,185,25
579,0,80,299,286,167,23
586,0,70,104,75,46,13
593,0,13,100,230,210,20
600,0,2,366,484,185,31
607,0,29,383,362,168,34
614,0,14,100,124,68,9
621,0,15,77,106,50,9
628,0,2,20,23,16,3
635,0,18,145,148,79,12
642,0,29,129,115,61,16
649,0,713,44,45,23,5
656,0,614,119,48,22,1
663,0,941,255,34,17,4
670,0,1325,658,31,20,4
677,0,369,102,17,7,5
383,1,0,1,1,1,0
390,1,0,0,4,6,0
397,1,0,3,4,5,0
404,1,0,0,1,0,0
418,1,0,1,1,1,0
425,1,0,3,15,18,0
432,1,0,6,40,86,9
439,1,0,4,20,37,2
446,1,0,4,19,18,3
453,1,0,0,3,3,2
460,1,0,0,1,4,13
467,1,0,1,4,1,0
474,1,0,2,7,2,1
481,1,0,0,2,2,0
488,1,0,3,8,10,1
495,1,0,5,30,114,5
502,1,0,40,245,614,82
509,1,0,11,55,127,113
516,1,0,11,46,205,623
523,1,0,7,28,192,370
530,1,0,6,16,58,171
537,1,0,4,15,24,17
544,1,0,3,15,97,92
551,1,0,2,8,135,186
558,1,0,5,19,42,25
565,1,0,3,10,29,30
572,1,0,82,215,1049,57
579,1,0,100,765,772,73
586,1,1,167,497,542,419
593,1,0,24,48,66,25
600,1,0,480,726,550,66
607,1,59,585,738,849,394
614,1,7,402,796,1335,158
621,1,21,169,429,552,58
628,1,1,557,736,364,60
635,1,15,237,302,170,23
642,1,49,112,100,78,16
649,1,2,65,95,127,10
656,1,0,92,267,270,28
663,1,3,99,158,108,23
670,1,8,45,73,55,11
677,1,16,45,55,29,4
670,2,0,0,0,1,2
677,2,0,0,0,3,1
