day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,2,0
369,0,0,9,46,71,0
376,0,0,5,31,56,0
383,0,0,3,7,29,0
390,0,0,0,5,21,18
397,0,0,1,5,15,3
404,0,0,1,5,13,3
411,0,0,5,18,37,52
418,0,0,21,65,99,66
425,0,0,5,10,13,214
432,0,0,32,144,166,19
439,0,0,24,101,161,201
446,0,0,13,34,33,135
453,0,0,1,9,15,542
460,0,0,1,4,10,321
467,0,0,0,5,114,664
474,0,0,0,2,150,452
481,0,0,2,7,227,286
488,0,0,2,6,157,141
495,0,0,0,2,268,244
502,0,0,4,6,155,123
509,0,0,10,13,211,157
516,0,0,12,40,719,261
523,0,0,122,463,1063,71
530,0,0,124,289,1722,51
537,0,0,55,132,499,23
544,0,0,62,175,924,19
551,0,0,32,318,495,11
558,0,0,66,965,490,17
565,0,0,295,822,193,11
572,0,0,984,836,252,21
579,0,25,117,679,301,30
586,0,48,177,186,64,9
593,0,31,160,164,51,7
600,0,28,153,151,48,11
607,0,1,147,218,69,7
614,0,7,49,48,23,7
621,0,4,19,24,5,5
628,0,24,44,27,17,1
635,0,120,131,16,6,1
642,0,18,194,392,318,14
649,0,373,524,289,10,2
656,0,347,364,176,42,7
663,0,546,510,120,22,6
670,0,93,169,123,43,5
677,0,506,84,52,8,4
684,0,687,8,5,0,0
691,0,559,69,64,36,6
698,0,319,4,5,7,1
705,0,199,83,45,39,5
712,0,3,0,0,1,0
390,1,0,9,45,66,0
397,1,0,4,23,43,0
404,1,0,4,13,44,0
411,1,0,0,6,23,18
418,1,0,1,4,17,3
425,1,0,1,5,13,3
432,1,0,5,14,34,49
439,1,0,14,54,68,10
446,1,0,1,5,2,1
453,1,0,0,3,2,0
460,1,0,3,3,4,1
467,1,0,1,4,2,0
474,1,0,2,23,28,4
481,1,0,5,11,9,1
488,1,0,27,132,137,117
495,1,0,21,94,189,382
502,1,0,9,20,150,441
509,1,0,2,5,20,99
516,1,0,5,14,48,288
523,1,0,2,3,18,38
530,1,0,0,0,8,304
537,1,0,1,5,2,16
544,1,0,1,1,14,25
551,1,0,2,6,81,388
558,1,0,1,2,13,14
565,1,0,7,14,185,543
572,1,0,25,50,53,11
579,1,0,17,53,515,153
586,1,0,50,150,1059,191
593,1,0,130,295,672,349
600,1,0,101,301,701,196
607,1,0,105,555,565,251
614,1,59,784,697,970,62
621,1,1,427,651,918,33
628,1,45,100,283,852,43
635,1,5,119,414,665,15
642,1,11,30,42,41,1
649,1,4,29,444,57,8
656,1,12,128,530,157,18
663,1,39,67,252,113,8
670,1,93,266,246,75,12
677,1,32,46,26,18,5
684,1,274,270,16,8,2
691,1,385,329,199,73,6
698,1,168,78,95,85,10
705,1,584,336,112,69,6
712,1,2,83,139,56,3
663,2,0,0,0,0,0
670,2,0,0,0,7,88
677,2,0,1,2,57,362
684,2,0,0,2,208,382
691,2,0,2,3,14,48
698,2,0,18,96,301,139
705,2,1,20,91,146,232
712,2,0,0,0,2,2
