type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,99,167,440,224
Cansino,0,0,5,7,5,4
Moderna,0,57,59,0,0,0
Pfizer,0,223,228,0,0,0
Sinopharm,0,719,323,383,221,291
Sputnik,0,1,286,443,334,481
AstraZeneca,1,0,89,158,440,221
Cansino,1,0,0,0,0,0
Moderna,1,74,67,5,88,118
Pfizer,1,263,226,2,0,0
Sinopharm,1,661,368,413,225,293
Sputnik,1,2,250,422,247,368
AstraZeneca,2,0,439,542,436,785
Cansino,2,0,0,0,0,0
Moderna,2,0,14,14,12,13
Pfizer,2,500,458,366,480,175
Sinopharm,2,500,0,0,0,0
Sputnik,2,0,89,78,72,27
