day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,2,30,38,1
376,0,0,3,30,50,0
383,0,0,7,48,70,0
390,0,0,1,12,21,11
397,0,0,0,3,7,1
404,0,0,2,10,13,5
411,0,0,3,6,15,45
418,0,0,5,29,48,74
425,0,0,5,9,23,223
432,0,0,13,55,47,204
439,0,1,45,194,251,239
446,0,0,12,39,40,160
453,0,0,7,13,27,288
460,0,0,5,20,101,489
467,0,0,4,7,75,686
474,0,0,0,1,366,438
481,0,0,4,7,275,254
488,0,0,4,14,229,208
495,0,0,1,5,29,11
502,0,0,1,2,294,289
509,0,0,7,29,228,38
516,0,0,60,176,612,118
523,0,0,119,409,752,65
530,0,0,154,321,665,31
537,0,0,115,244,603,17
544,0,0,120,298,1136,31
551,0,0,74,187,989,18
558,0,0,205,902,548,16
565,0,0,179,429,187,10
572,0,0,165,1464,408,34
579,0,97,556,545,99,8
586,0,69,338,440,212,20
593,0,148,128,179,108,14
600,0,34,33,35,10,5
607,0,1,365,391,140,18
614,0,1,30,42,16,4
621,0,45,18,23,3,1
628,0,25,31,30,10,2
635,0,10,181,226,98,20
642,0,258,353,286,42,8
649,0,362,118,104,23,4
656,0,210,213,174,21,6
663,0,468,4,6,2,0
383,1,0,0,0,0,0
390,1,0,1,20,27,0
397,1,0,3,32,44,1
404,1,0,5,46,82,0
411,1,0,2,17,24,11
418,1,0,0,1,1,0
425,1,0,3,13,19,6
432,1,0,2,7,10,8
439,1,0,5,21,27,40
446,1,0,0,7,16,1
453,1,0,1,1,0,0
460,1,0,4,9,7,2
467,1,0,3,17,16,2
474,1,0,0,0,0,0
481,1,0,22,98,75,2
488,1,0,23,88,114,442
495,1,0,16,67,254,276
502,1,0,7,13,47,175
509,1,0,5,14,70,111
516,1,0,5,10,32,129
523,1,0,1,3,50,212
530,1,0,4,5,55,306
537,1,0,2,4,86,109
544,1,0,5,21,133,135
551,1,0,4,11,18,201
558,1,0,2,3,66,300
565,1,0,20,42,64,106
572,1,0,48,128,513,28
579,1,0,72,282,456,50
586,1,0,112,302,488,192
593,1,0,39,153,622,249
600,1,0,314,672,968,212
607,1,68,126,1172,891,229
614,1,2,476,779,788,41
621,1,163,128,265,420,76
628,1,20,212,378,888,41
635,1,0,68,156,124,9
642,1,52,85,246,222,16
649,1,1,31,37,5,1
656,1,19,198,355,209,27
663,1,15,15,15,2,0
