type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,203,244,343,232
Cansino,0,0,4,5,6,3
Moderna,0,58,59,0,0,0
Pfizer,0,206,211,0,0,0
Sinopharm,0,734,290,494,282,265
Sputnik,0,2,233,257,369,500
AstraZeneca,1,0,203,241,347,233
Cansino,1,0,0,0,0,0
Moderna,1,69,71,19,99,117
Pfizer,1,223,211,1,0,0
Sinopharm,1,706,313,524,287,263
Sputnik,1,2,202,215,267,387
AstraZeneca,2,0,424,534,707,773
Cansino,2,0,0,0,0,0
Moderna,2,0,60,23,3,0
Pfizer,2,428,480,406,276,213
Sinopharm,2,571,0,0,0,1
Sputnik,2,1,36,37,14,13
